t	fg	fg	fg
0.762499999999932	0.256683336419236	0.384616517303802	0.12389649129537
0.762599999999932	0.256698484243453	0.384690886849967	0.123947590843292
0.762699999999932	0.256713629770341	0.384765253910349	0.123998688831703
0.762799999999932	0.256728773000841	0.384839618484699	0.124049785259357
0.762899999999932	0.256743913935896	0.384913980572767	0.124100880125014
0.762999999999932	0.256759052576448	0.384988340174301	0.124151973427433
0.763099999999932	0.256774188923439	0.385062697289052	0.124203065165382
0.763199999999932	0.256789322977808	0.385137051916769	0.124254155337629
0.763299999999932	0.256804454740496	0.3852114040572	0.124305243942949
0.763399999999932	0.256819584212443	0.385285753710095	0.124356330980119
0.763499999999932	0.256834711394588	0.385360100875201	0.12440741644792
0.763599999999932	0.256849836287869	0.385434445552268	0.124458500345139
0.763699999999932	0.256864958893224	0.385508787741042	0.124509582670564
0.763799999999932	0.256880079211592	0.385583127441271	0.124560663422988
0.763899999999932	0.256895197243907	0.385657464652704	0.12461174260121
0.763999999999932	0.256910312991108	0.385731799375086	0.12466282020403
0.764099999999932	0.25692542645413	0.385806131608166	0.124713896230254
0.764199999999932	0.256940537633908	0.38588046135169	0.12476497067869
0.764299999999932	0.256955646531377	0.385954788605404	0.124816043548151
0.764399999999932	0.25697075314747	0.386029113369054	0.124867114837454
0.764499999999932	0.256985857483123	0.386103435642387	0.12491818454542
0.764599999999932	0.257000959539267	0.386177755425147	0.124969252670872
0.764699999999932	0.257016059316835	0.386252072717082	0.125020319212639
0.764799999999932	0.25703115681676	0.386326387517935	0.125071384169554
0.764899999999932	0.257046252039973	0.386400699827453	0.125122447540452
0.764999999999932	0.257061344987404	0.386475009645379	0.125173509324174
0.765099999999932	0.257076435659984	0.386549316971458	0.125224569519561
0.765199999999932	0.257091524058644	0.386623621805434	0.125275628125463
0.765299999999932	0.257106610184312	0.386697924147052	0.12532668514073
0.765399999999932	0.257121694037916	0.386772223996055	0.125377740564218
0.765499999999932	0.257136775620386	0.386846521352187	0.125428794394784
0.765599999999932	0.257151854932649	0.386920816215191	0.125479846631292
0.765699999999932	0.257166931975633	0.38699510858481	0.125530897272608
0.765799999999932	0.257182006750262	0.387069398460787	0.125581946317602
0.765899999999932	0.257197079257465	0.387143685842865	0.125632993765148
0.765999999999932	0.257212149498166	0.387217970730785	0.125684039614123
0.766099999999932	0.257227217473291	0.38729225312429	0.125735083863409
0.766199999999932	0.257242283183763	0.387366533023122	0.125786126511891
0.766299999999932	0.257257346630507	0.387440810427022	0.125837167558458
0.766399999999932	0.257272407814446	0.387515085335732	0.125888207002001
0.766499999999932	0.257287466736503	0.387589357748992	0.125939244841418
0.766599999999932	0.257302523397601	0.387663627666544	0.125990281075609
0.766699999999932	0.25731757779866	0.387737895088129	0.126041315703476
0.766799999999932	0.257332629940604	0.387812160013486	0.126092348723927
0.766899999999932	0.257347679824351	0.387886422442355	0.126143380135874
0.766999999999932	0.257362727450822	0.387960682374478	0.12619440993823
0.767099999999932	0.257377772820937	0.388034939809593	0.126245438129914
0.767199999999932	0.257392815935616	0.38810919474744	0.126296464709848
0.767299999999932	0.257407856795776	0.388183447187758	0.126347489676957
0.767399999999932	0.257422895402336	0.388257697130285	0.126398513030172
0.767499999999932	0.257437931756213	0.388331944574762	0.126449534768424
0.767599999999932	0.257452965858324	0.388406189520925	0.126500554890649
0.767699999999932	0.257467997709586	0.388480431968514	0.12655157339579
0.767799999999932	0.257483027310914	0.388554671917267	0.126602590282787
0.767899999999932	0.257498054663224	0.38862890936692	0.12665360555059
0.767999999999932	0.257513079767432	0.388703144317212	0.126704619198149
0.768099999999932	0.25752810262445	0.38877737676788	0.126755631224419
0.768199999999932	0.257543123235193	0.388851606718661	0.126806641628357
0.768299999999932	0.257558141600575	0.388925834169292	0.126857650408925
0.768399999999932	0.257573157721508	0.389000059119508	0.126908657565089
0.768499999999932	0.257588171598904	0.389074281569048	0.126959663095817
0.768599999999932	0.257603183233674	0.389148501517646	0.127010667000081
0.768699999999932	0.257618192626731	0.389222718965039	0.127061669276857
0.768799999999932	0.257633199778985	0.389296933910961	0.127112669925125
0.768899999999932	0.257648204691345	0.38937114635515	0.127163668943867
0.768999999999932	0.257663207364722	0.389445356297339	0.12721466633207
0.769099999999932	0.257678207800024	0.389519563737263	0.127265662088724
0.769199999999932	0.257693205998161	0.389593768674658	0.127316656212822
0.769299999999932	0.257708201960039	0.389667971109257	0.127367648703361
0.769399999999932	0.257723195686567	0.389742171040795	0.127418639559341
0.769499999999932	0.257738187178651	0.389816368469006	0.127469628779767
0.769599999999932	0.257753176437198	0.389890563393623	0.127520616363645
0.769699999999932	0.257768163463113	0.38996475581438	0.127571602309987
0.769799999999932	0.257783148257303	0.39003894573101	0.127622586617807
0.769899999999932	0.257798130820672	0.390113133143247	0.127673569286122
0.769999999999932	0.257813111154124	0.390187318050822	0.127724550313954
0.770099999999932	0.257828089258563	0.390261500453469	0.127775529700327
0.770199999999932	0.257843065134893	0.390335680350919	0.127826507444269
0.770299999999931	0.257858038784016	0.390409857742905	0.127877483544812
0.770399999999931	0.257873010206834	0.390484032629159	0.127928458000991
0.770499999999931	0.257887979404249	0.390558205009412	0.127979430811844
0.770599999999931	0.257902946377163	0.390632374883396	0.128030401976412
0.770699999999931	0.257917911126475	0.390706542250841	0.128081371493741
0.770799999999931	0.257932873653087	0.390780707111479	0.128132339362879
0.770899999999931	0.257947833957897	0.39085486946504	0.128183305582879
0.770999999999931	0.257962792041806	0.390929029311254	0.128234270152794
0.771099999999931	0.25797774790571	0.391003186649853	0.128285233071684
0.771199999999931	0.25799270155051	0.391077341480565	0.128336194338611
0.771299999999931	0.258007652977101	0.39115149380312	0.12838715395264
