t	Rg	Rg	Rg
1.86969999999981	7.66697850999009E-05	0.00141134089820817	0.00986163245856261
1.86979999999981	7.66704204612832E-05	0.00141138575265404	0.00986198186801809
1.86989999999981	7.66710557970255E-05	0.00141143059845456	0.00986233127762757
1.86999999999981	7.6671691107131E-05	0.00141147543560607	0.00986268068739311
1.87009999999981	7.66723263916028E-05	0.00141152026410488	0.00986303009731675
1.87019999999981	7.6672961650444E-05	0.00141156508394733	0.00986337950740056
1.87029999999981	7.66735968836576E-05	0.00141160989512973	0.00986372891764658
1.87039999999981	7.66742320912469E-05	0.00141165469764841	0.00986407832805686
1.87049999999981	7.6674867273215E-05	0.0014116994914997	0.00986442773863345
1.87059999999981	7.66755024295649E-05	0.00141174427667993	0.00986477714937841
1.87069999999981	7.66761375602997E-05	0.00141178905318542	0.00986512656029379
1.87079999999981	7.66767726654226E-05	0.0014118338210125	0.00986547597138163
1.87089999999981	7.66774077449367E-05	0.0014118785801575	0.009865825382644
1.87099999999981	7.6678042798845E-05	0.00141192333061676	0.00986617479408293
1.87109999999981	7.66786778271508E-05	0.00141196807238661	0.00986652420570049
1.87119999999981	7.6679312829857E-05	0.00141201280546337	0.00986687361749871
1.87129999999981	7.66799478069669E-05	0.00141205752984339	0.00986722302947966
1.87139999999981	7.66805827584834E-05	0.00141210224552299	0.00986757244164538
1.87149999999981	7.66812176844098E-05	0.00141214695249852	0.00986792185399792
1.87159999999981	7.66818525847491E-05	0.0014121916507663	0.00986827126653934
1.87169999999981	7.66824874595045E-05	0.00141223634032268	0.00986862067927168
1.87179999999981	7.66831223086789E-05	0.00141228102116399	0.00986897009219699
1.87189999999981	7.66837571322756E-05	0.00141232569328657	0.00986931950531733
1.87199999999981	7.66843919302977E-05	0.00141237035668677	0.00986966891863473
1.87209999999981	7.66850267027481E-05	0.00141241501136092	0.00987001833215126
1.87219999999981	7.66856614496302E-05	0.00141245965730536	0.00987036774586896
1.87229999999981	7.66862961709468E-05	0.00141250429451644	0.00987071715978988
1.87239999999981	7.66869308667012E-05	0.0014125489229905	0.00987106657391607
1.87249999999981	7.66875655368965E-05	0.00141259354272388	0.00987141598824958
1.87259999999981	7.66882001815357E-05	0.00141263815371294	0.00987176540279246
1.87269999999981	7.66888348006219E-05	0.00141268275595401	0.00987211481754676
1.87279999999981	7.66894693941583E-05	0.00141272734944344	0.00987246423251452
1.87289999999981	7.66901039621479E-05	0.00141277193417758	0.00987281364769779
1.87299999999981	7.66907385045939E-05	0.00141281651015279	0.00987316306309863
1.87309999999981	7.66913730214993E-05	0.0014128610773654	0.00987351247871908
1.87319999999981	7.66920075128673E-05	0.00141290563581177	0.00987386189456119
1.87329999999981	7.66926419787008E-05	0.00141295018548826	0.00987421131062701
1.87339999999981	7.66932764190031E-05	0.00141299472639121	0.00987456072691858
1.87349999999981	7.66939108337773E-05	0.00141303925851697	0.00987491014343796
1.87359999999981	7.66945452230263E-05	0.00141308378186191	0.00987525956018719
1.87369999999981	7.66951795867533E-05	0.00141312829642238	0.00987560897716832
1.87379999999981	7.66958139249615E-05	0.00141317280219474	0.00987595839438339
1.87389999999981	7.66964482376538E-05	0.00141321729917533	0.00987630781183447
1.87399999999981	7.66970825248335E-05	0.00141326178736053	0.00987665722952358
1.87409999999981	7.66977167865035E-05	0.00141330626674669	0.00987700664745278
1.87419999999981	7.6698351022667E-05	0.00141335073733016	0.00987735606562412
1.87429999999981	7.6698985233327E-05	0.00141339519910732	0.00987770548403965
1.87439999999981	7.66996194184867E-05	0.00141343965207452	0.0098780549027014
1.87449999999981	7.67002535781491E-05	0.00141348409622813	0.00987840432161143
