t	fg2D	fg2D	fg2D
0.758499999999933	0.403254032282647	0.526141264014762	0.245783834181445
0.758599999999933	0.403270032069698	0.52620970521997	0.245852626433868
0.758699999999933	0.403286029087574	0.52627813969922	0.245921407038255
0.758799999999933	0.403302023337461	0.526346567453892	0.245990175998938
0.758899999999933	0.40331801482054	0.526414988485367	0.24605893332025
0.758999999999933	0.403334003537996	0.526483402795022	0.246127679006524
0.759099999999933	0.40334998949101	0.526551810384237	0.246196413062095
0.759199999999933	0.403365972680764	0.526620211254388	0.246265135491297
0.759299999999933	0.403381953108438	0.526688605406851	0.246333846298467
0.759399999999933	0.403397930775213	0.526756992843001	0.246402545487939
0.759499999999933	0.403413905682266	0.526825373564212	0.24647123306405
0.759599999999933	0.403429877830778	0.526893747571859	0.246539909031138
0.759699999999933	0.403445847221926	0.526962114867312	0.246608573393541
0.759799999999933	0.403461813856886	0.527030475451943	0.246677226155596
0.759899999999933	0.403477777736836	0.527098829327123	0.246745867321643
0.759999999999933	0.40349373886295	0.527167176494221	0.246814496896021
0.760099999999933	0.403509697236405	0.527235516954606	0.246883114883071
0.760199999999933	0.403525652858373	0.527303850709645	0.246951721287132
0.760299999999933	0.403541605730028	0.527372177760705	0.247020316112546
0.760399999999933	0.403557555852544	0.527440498109152	0.247088899363654
0.760499999999933	0.403573503227092	0.527508811756349	0.2471574710448
0.760599999999933	0.403589447854844	0.527577118703662	0.247226031160324
0.760699999999933	0.40360538973697	0.527645418952453	0.247294579714571
0.760799999999933	0.403621328874641	0.527713712504085	0.247363116711885
0.760899999999933	0.403637265269025	0.527781999359917	0.247431642156608
0.760999999999933	0.403653198921291	0.52785027952131	0.247500156053087
0.761099999999933	0.403669129832606	0.527918552989624	0.247568658405665
0.761199999999932	0.403685058004139	0.527986819766216	0.247637149218689
0.761299999999932	0.403700983437055	0.528055079852444	0.247705628496505
0.761399999999932	0.40371690613252	0.528123333249664	0.247774096243459
0.761499999999932	0.403732826091699	0.528191579959232	0.247842552463898
0.761599999999932	0.403748743315756	0.528259819982503	0.247910997162168
0.761699999999932	0.403764657805854	0.528328053320829	0.247979430342619
0.761799999999932	0.403780569563158	0.528396279975563	0.248047852009598
0.761899999999932	0.403796478588828	0.528464499948058	0.248116262167453
0.761999999999932	0.403812384884026	0.528532713239664	0.248184660820534
0.762099999999932	0.403828288449914	0.528600919851731	0.24825304797319
0.762199999999932	0.40384418928765	0.528669119785607	0.248321423629771
0.762299999999932	0.403860087398395	0.528737313042641	0.248389787794626
0.762399999999932	0.403875982783307	0.528805499624181	0.248458140472106
0.762499999999932	0.403891875443543	0.528873679531571	0.248526481666563
0.762599999999932	0.403907765380262	0.528941852766158	0.248594811382346
0.762699999999932	0.403923652594619	0.529010019329286	0.248663129623808
0.762799999999932	0.403939537087771	0.529078179222298	0.248731436395301
0.762899999999932	0.403955418860872	0.529146332446537	0.248799731701176
0.762999999999932	0.403971297915077	0.529214479003344	0.248868015545786
0.763099999999932	0.40398717425154	0.529282618894061	0.248936287933484
0.763199999999932	0.404003047871414	0.529350752120025	0.249004548868624
0.763299999999932	0.40401891877585	0.529418878682578	0.249072798355557
0.763399999999932	0.404034786966002	0.529486998583056	0.249141036398639
0.763499999999932	0.404050652443019	0.529555111822797	0.249209263002222
0.763599999999932	0.404066515208052	0.529623218403136	0.249277478170662
0.763699999999932	0.40408237526225	0.529691318325409	0.249345681908313
0.763799999999932	0.404098232606762	0.52975941159095	0.249413874219529
0.763899999999932	0.404114087242737	0.529827498201092	0.249482055108666
0.763999999999932	0.404129939171321	0.529895578157168	0.249550224580079
0.764099999999932	0.404145788393662	0.52996365146051	0.249618382638123
0.764199999999932	0.404161634910906	0.530031718112448	0.249686529287154
0.764299999999932	0.404177478724198	0.530099778114311	0.249754664531528
0.764399999999932	0.404193319834682	0.530167831467429	0.249822788375601
0.764499999999932	0.404209158243503	0.530235878173129	0.24989090082373
0.764599999999932	0.404224993951804	0.530303918232738	0.249959001880271
0.764699999999932	0.404240826960727	0.530371951647583	0.25002709154958
0.764799999999932	0.404256657271415	0.530439978418989	0.250095169836016
0.764899999999932	0.404272484885008	0.530507998548279	0.250163236743934
0.764999999999932	0.404288309802648	0.530576012036778	0.250231292277693
