t;TC1;TC2;TC3;TC4;
49.800000;662.825637;643.183934;604.889629;-273.000000;
49.900000;663.015976;643.254195;604.736585;-273.000000;
50.000000;662.787837;642.953452;604.668741;-273.000000;
50.100000;662.814384;643.101663;604.701047;-273.000000;
50.200000;662.841995;642.971175;604.525529;-273.000000;
50.300000;662.699537;642.953727;604.483976;-273.000000;
50.400000;662.788187;642.942662;604.432300;-273.000000;
50.500000;662.671513;642.735424;604.317191;-273.000000;
50.600000;662.695668;642.815156;604.237579;-273.000000;
50.700000;662.629395;642.617314;604.056174;-273.000000;
50.800000;662.615647;642.553542;604.097126;-273.000000;
50.900000;662.459179;642.565278;604.090088;-273.000000;
51.000000;662.328726;642.438622;603.982971;-273.000000;
51.100000;662.342734;642.492188;603.884671;-273.000000;
51.200000;662.368195;642.314430;603.758153;-273.000000;
51.300000;662.330382;642.264521;603.918118;-273.000000;
