t	fd_A	fd_V
0.678099999999942	0.259925747041157	0.157387307262038	0.285879999999959
0.680099999999941	0.260841114859955	0.158205204597113	0.287389999999959
0.682099999999941	0.261739136040439	0.159009277144878	0.288909999999953
0.684099999999941	0.26264358375311	0.159820687098507	0.290419999999953
0.686099999999941	0.263548612062562	0.160634957588019	0.291929999999953
0.688099999999941	0.264445823572239	0.161443690798617	0.293439999999958
0.69009999999994	0.265354179417863	0.162264424188641	0.294959999999952
0.69209999999994	0.266302703343362	0.163111792272951	0.296469999999952
0.69409999999994	0.267246569619844	0.163953274205235	0.297979999999958
0.69609999999994	0.268197925807095	0.1648031640964	0.299499999999952
0.698099999999939	0.269149703903192	0.165656251966151	0.301009999999958
0.700099999999939	0.270080903307504	0.166492716553096	0.302529999999951
0.702099999999939	0.271004348124612	0.167323591699797	0.304039999999957
0.704099999999939	0.271937907080957	0.168165815579311	0.305559999999951
0.706099999999939	0.272859501470394	0.168999738214112	0.307069999999957
0.708099999999938	0.273761208796112	0.169817409779683	0.308589999999951
0.710099999999938	0.274667695980661	0.170640860590645	0.310109999999951
0.712099999999938	0.275578579334806	0.171470924496421	0.311619999999957
0.714099999999938	0.276479692205698	0.172293338872038	0.313139999999956
0.716099999999937	0.277391111951818	0.173127215146938	0.31465999999995
0.718099999999937	0.278295472701112	0.173957070881615	0.31617999999995
0.720099999999937	0.279182936703449	0.17477296373384	0.317689999999956
0.722099999999937	0.280070220557908	0.175590153189562	0.319209999999956
0.724099999999937	0.280967789854728	0.176418754078094	0.320729999999949
0.726099999999936	0.281850527868118	0.177235771607286	0.322249999999949
0.728099999999936	0.282720038285616	0.178042246860992	0.323769999999949
0.730099999999936	0.283597572304296	0.178857598560673	0.325289999999949
0.732099999999936	0.284478799846898	0.179678556582411	0.326809999999949
0.734099999999935	0.285347220917406	0.180489276068774	0.328329999999948
0.736099999999935	0.286203308441607	0.181289767126746	0.329849999999948
0.738099999999935	0.287069363684751	0.18210131413797	0.331369999999948
0.740099999999935	0.287931866106331	0.182911591717578	0.332889999999948
0.742099999999935	0.288791790284266	0.183720746302752	0.334409999999954
0.744099999999934	0.289661621124629	0.184540917872725	0.335929999999954
0.746099999999934	0.290521832351415	0.18535404850786	0.337449999999954
0.748099999999934	0.291365323168765	0.18615318019612	0.338979999999947
0.750099999999934	0.292211919698052	0.186956305989604	0.340499999999947
0.752099999999933	0.293068395149204	0.187770407621543	0.342019999999953
0.754099999999933	0.293910836053487	0.188573330654216	0.343549999999947
0.756099999999933	0.294736310833561	0.189361679936936	0.345069999999946
0.758099999999933	0.295571406767322	0.190160180090216	0.346589999999953
0.760099999999933	0.29641091067547	0.190964968319116	0.348119999999946
0.762099999999932	0.297243279006291	0.191763010263396	0.349639999999946
0.764099999999932	0.298120007322194	0.192590979131104	0.351159999999953
0.766099999999932	0.299005490114567	0.193429132565882	0.352689999999946
0.768099999999932	0.29989170353918	0.194270357109424	0.354209999999952
0.770099999999932	0.300769651886995	0.195104865535812	0.355739999999945
0.772099999999931	0.301656392919553	0.195949592827544	0.357259999999952
0.774099999999931	0.302540143117372	0.196793767118963	0.358789999999945
0.776099999999931	0.30341047270691	0.197626559362703	0.360319999999945
0.778099999999931	0.304277336910389	0.198457337692172	0.361839999999944
0.78009999999993	0.30515303154666	0.199298344957488	0.363369999999944
0.78209999999993	0.306022241210274	0.200135321331687	0.364889999999951
0.78409999999993	0.306877291725517	0.200960237525954	0.366419999999944
0.78609999999993	0.307730395357095	0.201784343830471	0.367949999999944
0.78809999999993	0.30859243327049	0.202618752725082	0.369479999999944
0.790099999999929	0.30944790173107	0.203448937253484	0.370999999999951
0.792099999999929	0.310320933893187	0.204290138035881	0.372529999999943
0.794099999999929	0.311219831681375	0.20515043090827	0.374059999999943
0.796099999999929	0.312105395128486	0.206000142373881	0.375589999999943
0.798099999999928	0.312972212447207	0.206833341920887	0.377119999999943
0.800099999999928	0.313837213745356	0.207665973105527	0.37863999999995
0.802099999999928	0.314710246306406	0.208508243618079	0.38016999999995
0.804099999999928	0.315574355737163	0.209344071844478	0.381699999999949
0.806099999999928	0.316423729283227	0.210167134011262	0.383229999999942
0.808099999999927	0.317270838241315	0.210989093322018	0.384759999999942
0.810099999999927	0.318125961402598	0.211820621928221	0.386289999999942
0.812099999999927	0.318976102820895	0.212649273991107	0.387819999999941
0.814099999999927	0.31981346990612	0.21346694758055	0.389349999999941
0.816099999999926	0.320645546150948	0.214280628407886	0.390879999999941
0.818099999999926	0.321485513370139	0.215103715288743	0.392409999999941
0.820099999999926	0.322323152449217	0.215926625924004	0.393939999999941
0.822099999999926	0.323153584221684	0.216743413115759	0.395469999999948
0.824099999999926	0.323991987907593	0.217569678312176	0.396999999999948
0.826099999999925	0.324831025644496	0.218398490761718	0.398529999999948
0.828099999999925	0.325657255316114	0.219216083689982	0.400059999999948
0.830099999999925	0.32647492386891	0.220026287467164	0.40159999999994
0.832099999999925	0.32730051000853	0.220845887258153	0.40312999999994
